Language      Geometric        Poisson    AltmannZeta      TruncZeta
Arabic        166.742        13683.5      0.000000        571.934
Finnish        1014.86          13344        82.7617      0.000000
Icelandic        730.227        14487.5      0.000000        689.879
Russian        394.797        13615.1      0.000000        329.523
Spanish        1380.14        17790.7        639.953      0.000000
Turkish        54.5508        11644.4      0.000000        892.086
Polish        354.383          12850      0.000000        262.371
Galician        1641.21        19082.1        743.289      0.000000
Thai        1.26172        13250.1      0.000000        1064.67
French           2589        21675.7        1314.41      0.000000
Chinese        1099.01        17274.4      0.000000        315.965
German        1900.62        19139.6        231.988      0.000000
Portuguese        1278.38        18193.1        333.477      0.000000
Japanese        2100.95        24365.8        278.625      0.000000
Czech         1117.1        14604.5        425.391      0.000000
Hindi        1280.46        19195.8        97.5078      0.000000
Italian        1482.66        19717.2        157.734      0.000000
Swedish        1366.08        16341.6        135.891      0.000000
Indonesian        443.559        13864.8      0.000000        270.477
English        1671.65        18887.7        15.4219      0.000000
Korean      0.000000        9170.03        182.836        2348.11
