Language      Geometric        Poisson    AltmannZeta      TruncZeta
Arabic        28707.9        35466.3        28623.6        28909.5
Finnish        21855.6        28020.2        21388.6        21347.2
Icelandic        26050.3          32929        25684.2        26029.2
Russian        26774.5        33384.6        26576.1        26740.8
Spanish          32228        40433.3          31857          31537
Turkish        23340.6        29135.5        23312.3        23758.3
Polish        25426.1        31673.9        25247.9        25379.1
Galician        32543.8        41264.2        32093.8        31722.2
Thai        30894.8        37519.2        30893.2        31425.5
French        34231.5        43774.9        33593.2          32936
Chinese        29634.8        37722.6        29084.3        29242.3
German        29520.8        38140.3        28685.5        28569.5
Portuguese        32398.8        40856.1        31925.3        31758.6
Japanese        39862.4        50994.8        38950.2        38810.9
Czech        25739.4        32483.1        25392.6        25179.9
Hindi        32986.3          41944        32393.8        32345.1
Italian        32849.6        41966.8        32186.1        32107.2
Swedish        26387.9        33875.6        25771.8        25703.8
Indonesian        26900.5        33611.1        26677.7        26812.9
English        29308.5        37916.5        28479.4        28471.7
Korean        22927.5        27512.6          23018        24100.6
